id_proposal,title_proposal,votes,scores_total,selected_choice,forum_topic_id,polarity,subjectivity
0x70a8c246bff9f2c9ca73208fd5ce0411086e6d899a46895336617793978e99ff,DefiEdge STIP Proposal - Round 1,18950,154910788.49282044,For,17014,0.18637094170576315,0.4732262287396216
0x7103fe55dd62c506860e27e539243521c5f981b30fe819a5d473cfca9f830ae2,MUX Protocol STIP Proposal - Round 1,17243,190307115.53999257,For,17540,0.1714259991859531,0.5034766266693291
0x715be769f6928edc8df795dd6a4b492456907afdb8c3f1d2adb0f31d2c48a4d3,0xGen STIP Proposal - Round 1,16178,112678692.94008039,Against,17222,0.07914605067064083,0.518404868355688
0x7203289844e807781e8d2ec110d4b97a79a29944cae06a52dbe315a16381a2ae,"AIP-1.1 - Lockup, Budget, Transparency",45230,139627250.40147364,For,13360,0.16791790880912927,0.42103287290101554
0x727723d66fe020f90d63159a33a61a1cdc3c36d2a0df9b27ef910ddea2a63f18,Dolomite STIP Proposal - Round 1,21962,195375588.62715897,For,16818,0.21733780103162695,0.5451543021226875
0x72e4eae44f212f81bdea4880b15cbff968a2257849e3aa4dc95bd3f039a3bdd3,Pendle STIP Proposal - Round 1,17310,185950569.42195138,For,17234,0.2600650090114841,0.5445225358406804
0x7572d14df9604571fa6b58827c7512d94fca09f24541202cd4a976f822df8f54,Beefy STIP Proposal - Round 1,19824,123362458.77117674,For,16679,0.18664043758287166,0.5121538584604758
0x76ff3c3e1750cfbe34dd62ed22c0c126168963d6acce2217acc4bcc7e9e623b7,UniDex STIP Proposal - Round 1,32503,122522925.80034354,Abstain,17543,0.1507228285604453,0.4609836280515442
0x7c3c3c7386961fe79dea98e8acef576a57b234e53d14e21b1b8bb51baed5e8a4,Trader Joe STIP Proposal - Round 1,16780,193040508.0253124,For,17013,0.24791299665646255,0.5711047482240664
0x7c75d57e2539be2e764dcad851b26fc38b300af3526b179f0146fb3fc139532e,CRYPTEX STIP Proposal - Round 1,15852,126423066.06983295,Against,16999,0.05947596263385737,0.4382076782866256
0x7f77802628767dbbe50451037b797f6f7feb7ad97ad8412b681bc1a086539ddf,Archi Finance STIP Proposal - Round 1,16148,109208439.56152403,Abstain,17325,0.27262132101129793,0.5038111836959763
